Request: insert
90% (μs): 6.810
99% (μs): 7.139
99.9% (μs): 7.530
Request: select
Batch size: 10
RPS: 148170
Avg (μs): 6.749
Med (μs): 6.704
Min (μs): 6.098
Max (μs): 14.498
90% (μs): 6.987
99% (μs): 7.321
99.9% (μs): 7.702
Request: replace
Batch size: 10
RPS: 151978
Avg (μs): 6.580
Med (μs): 6.526
Min (μs): 5.920
Max (μs): 21.685
90% (μs): 6.825
99% (μs): 7.143
99.9% (μs): 7.496
Request: delete
Batch size: 10
RPS: 149863
Avg (μs): 6.673
Med (μs): 6.635
Min (μs): 6.016
Max (μs): 14.167
90% (μs): 6.914
99% (μs): 7.258
99.9% (μs): 7.733
Request: insert
Batch size: 10
RPS: 152212
Avg (μs): 6.570
Med (μs): 6.518
Min (μs): 5.936
Max (μs): 13.568
90% (μs): 6.812
99% (μs): 7.135
99.9% (μs): 7.502
Request: select
Batch size: 10
RPS: 148743
Avg (μs): 6.723
Med (μs): 6.676
Min (μs): 6.148
Max (μs): 13.750
90% (μs): 6.963
99% (μs): 7.286
99.9% (μs): 7.669
Request: replace
Batch size: 10
RPS: 152352
Avg (μs): 6.564
Med (μs): 6.512
Min (μs): 5.968
Max (μs): 13.289
90% (μs): 6.804
99% (μs): 7.128
99.9% (μs): 7.480
Request: delete
Batch size: 10
RPS: 148979
Avg (μs): 6.712
Med (μs): 6.638
Min (μs): 6.155
Max (μs): 2690.323
90% (μs): 6.919
99% (μs): 7.253
99.9% (μs): 7.965
Request: insert
Batch size: 10
RPS: 152734
Avg (μs): 6.547
Med (μs): 6.493
Min (μs): 6.080
Max (μs): 13.231
90% (μs): 6.785
99% (μs): 7.113
99.9% (μs): 7.568
Request: select
Batch size: 10
RPS: 148735
Avg (μs): 6.723
Med (μs): 6.676
Min (μs): 6.001
Max (μs): 13.594
90% (μs): 6.961
99% (μs): 7.298
99.9% (μs): 7.991
Request: replace
Batch size: 10
RPS: 152884
Avg (μs): 6.541
Med (μs): 6.492
Min (μs): 6.051
Max (μs): 21.564
90% (μs): 6.782
99% (μs): 7.121
99.9% (μs): 7.502
Request: delete
Batch size: 10
RPS: 149663
Avg (μs): 6.682
Med (μs): 6.638
Min (μs): 5.972
Max (μs): 13.661
90% (μs): 6.917
99% (μs): 7.239
99.9% (μs): 7.667
Request: insert
Batch size: 10
RPS: 153435
Avg (μs): 6.517
Med (μs): 6.462
Min (μs): 5.910
Max (μs): 126.273
90% (μs): 6.753
99% (μs): 7.116
99.9% (μs): 8.148
Request: select
Batch size: 10
RPS: 147896
Avg (μs): 6.761
Med (μs): 6.711
Min (μs): 6.189
Max (μs): 27.816
90% (μs): 6.997
99% (μs): 7.337
99.9% (μs): 8.275
Request: replace
Batch size: 10
RPS: 152334
Avg (μs): 6.565
Med (μs): 6.511
Min (μs): 5.909
Max (μs): 28.781
90% (μs): 6.802
99% (μs): 7.158
99.9% (μs): 8.291
Request: delete
Batch size: 10
RPS: 149090
Avg (μs): 6.707
Med (μs): 6.658
Min (μs): 5.970
Max (μs): 27.652
90% (μs): 6.943
99% (μs): 7.285
99.9% (μs): 7.978
Request: insert
Batch size: 10
RPS: 152688
Avg (μs): 6.549
Med (μs): 6.496
Min (μs): 5.951
Max (μs): 29.892
90% (μs): 6.786
99% (μs): 7.116
99.9% (μs): 7.736
Request: select
Batch size: 10
RPS: 148296
Avg (μs): 6.743
Med (μs): 6.697
Min (μs): 6.180
Max (μs): 27.466
90% (μs): 6.985
99% (μs): 7.299
99.9% (μs): 7.662
Request: replace
Batch size: 10
RPS: 151984
Avg (μs): 6.580
Med (μs): 6.526
Min (μs): 6.004
Max (μs): 27.429
90% (μs): 6.814
99% (μs): 7.131
99.9% (μs): 7.472
Request: delete
Batch size: 10
RPS: 148671
Avg (μs): 6.726
Med (μs): 6.675
Min (μs): 6.185
Max (μs): 27.374
90% (μs): 6.962
99% (μs): 7.286
99.9% (μs): 7.739
Request: insert
Batch size: 10
RPS: 152793
Avg (μs): 6.545
Med (μs): 6.492
Min (μs): 5.948
Max (μs): 383.072
90% (μs): 6.780
99% (μs): 7.092
99.9% (μs): 7.498
Request: select
Batch size: 10
RPS: 146681
Avg (μs): 6.818
Med (μs): 6.758
Min (μs): 6.103
Max (μs): 27.547
90% (μs): 7.050
99% (μs): 7.381
99.9% (μs): 7.759
Request: replace
Batch size: 10
RPS: 152387
Avg (μs): 6.562
Med (μs): 6.504
Min (μs): 5.988
Max (μs): 27.237
90% (μs): 6.801
99% (μs): 7.153
99.9% (μs): 7.879
Request: delete
Batch size: 10
RPS: 148606
Avg (μs): 6.729
Med (μs): 6.678
Min (μs): 6.107
Max (μs): 17.787
90% (μs): 6.971
99% (μs): 7.289
99.9% (μs): 7.628
Request: insert
Batch size: 10
RPS: 151880
Avg (μs): 6.584
Med (μs): 6.526
Min (μs): 5.892
Max (μs): 17.504
90% (μs): 6.825
99% (μs): 7.160
99.9% (μs): 7.689
Request: select
Batch size: 10
RPS: 147955
Avg (μs): 6.759
Med (μs): 6.711
Min (μs): 6.224
Max (μs): 29.724
90% (μs): 7.004
99% (μs): 7.355
99.9% (μs): 7.937
Request: replace
Batch size: 10
RPS: 152264
Avg (μs): 6.568
Med (μs): 6.517
Min (μs): 5.871
Max (μs): 17.314
90% (μs): 6.803
99% (μs): 7.125
99.9% (μs): 7.503
Request: delete
Batch size: 10
RPS: 148620
Avg (μs): 6.729
Med (μs): 6.676
Min (μs): 6.098
Max (μs): 21.470
90% (μs): 6.965
99% (μs): 7.296
99.9% (μs): 7.689
Request: insert
Batch size: 10
RPS: 152267
Avg (μs): 6.567
Med (μs): 6.516
Min (μs): 5.996
Max (μs): 17.537
90% (μs): 6.810
99% (μs): 7.121
99.9% (μs): 7.567
Request: select
Batch size: 10
RPS: 146966
Avg (μs): 6.804
Med (μs): 6.725
Min (μs): 6.142
Max (μs): 2185.437
90% (μs): 7.017
99% (μs): 7.345
99.9% (μs): 7.763
Request: replace
Batch size: 10
RPS: 151952
Avg (μs): 6.581
Med (μs): 6.527
Min (μs): 5.957
Max (μs): 17.209
90% (μs): 6.817
99% (μs): 7.143
99.9% (μs): 7.505
Request: delete
Batch size: 10
RPS: 148808
Avg (μs): 6.720
Med (μs): 6.671
Min (μs): 6.142
Max (μs): 17.191
90% (μs): 6.958
99% (μs): 7.270
99.9% (μs): 7.625
Request: insert
Batch size: 10
RPS: 152713
Avg (μs): 6.548
Med (μs): 6.501
Min (μs): 6.012
Max (μs): 28.285
90% (μs): 6.790
99% (μs): 7.105
99.9% (μs): 7.559
Request: select
Batch size: 10
RPS: 147742
Avg (μs): 6.769
Med (μs): 6.721
Min (μs): 6.191
Max (μs): 52.838
90% (μs): 7.007
99% (μs): 7.324
99.9% (μs): 7.769
Request: replace
Batch size: 10
RPS: 152746
Avg (μs): 6.547
Med (μs): 6.498
Min (μs): 5.967
Max (μs): 17.439
90% (μs): 6.785
99% (μs): 7.092
99.9% (μs): 7.515
Request: delete
Batch size: 10
RPS: 148252
Avg (μs): 6.745
Med (μs): 6.691
Min (μs): 6.019
Max (μs): 21.368
90% (μs): 6.980
99% (μs): 7.314
99.9% (μs): 7.678
Request: insert
Batch size: 10
RPS: 152638
Avg (μs): 6.551
Med (μs): 6.498
Min (μs): 6.073
Max (μs): 18.454
90% (μs): 6.795
99% (μs): 7.145
99.9% (μs): 7.566
Request: select
Batch size: 10
RPS: 146907
Avg (μs): 6.807
Med (μs): 6.749
Min (μs): 6.148
Max (μs): 53.077
90% (μs): 7.041
99% (μs): 7.413
99.9% (μs): 8.292
Request: replace
Batch size: 10
RPS: 152111
Avg (μs): 6.574
Med (μs): 6.504
Min (μs): 5.988
Max (μs): 703.443
90% (μs): 6.808
99% (μs): 7.181
99.9% (μs): 8.039
Request: delete
Batch size: 10
RPS: 148705
Avg (μs): 6.725
Med (μs): 6.675
Min (μs): 6.047
Max (μs): 29.929
90% (μs): 6.964
99% (μs): 7.322
99.9% (μs): 8.128
Request: insert
Batch size: 10
RPS: 151818
Avg (μs): 6.587
Med (μs): 6.533
Min (μs): 5.956
Max (μs): 28.238
90% (μs): 6.822
99% (μs): 7.161
99.9% (μs): 7.667
Request: select
Batch size: 10
RPS: 147495
Avg (μs): 6.780
Med (μs): 6.731
Min (μs): 6.236
Max (μs): 29.591
90% (μs): 7.019
99% (μs): 7.340
99.9% (μs): 7.814
Request: replace
Batch size: 10
RPS: 152198
Avg (μs): 6.570
Med (μs): 6.515
Min (μs): 5.873
Max (μs): 21.315
90% (μs): 6.807
99% (μs): 7.147
99.9% (μs): 7.868
Request: delete
Batch size: 10
RPS: 148781
Avg (μs): 6.721
Med (μs): 6.673
Min (μs): 6.090
Max (μs): 15.840
90% (μs): 6.963
99% (μs): 7.322
99.9% (μs): 8.093
Request: insert
Batch size: 10
RPS: 152399
Avg (μs): 6.562
Med (μs): 6.508
Min (μs): 5.771
Max (μs): 13.250
90% (μs): 6.801
99% (μs): 7.167
99.9% (μs): 7.683
Request: select
Batch size: 10
RPS: 147723
Avg (μs): 6.769
Med (μs): 6.722
Min (μs): 6.198
Max (μs): 13.674
90% (μs): 7.005
99% (μs): 7.335
99.9% (μs): 7.711
Request: replace
Batch size: 10
RPS: 151990
Avg (μs): 6.579
Med (μs): 6.518
Min (μs): 5.937
Max (μs): 23.175
90% (μs): 6.821
99% (μs): 7.230
99.9% (μs): 8.851
Request: delete
Batch size: 10
RPS: 148915
Avg (μs): 6.715
Med (μs): 6.664
Min (μs): 6.021
Max (μs): 149.281
90% (μs): 6.952
99% (μs): 7.291
99.9% (μs): 7.855
Request: insert
Batch size: 10
RPS: 152260
Avg (μs): 6.568
Med (μs): 6.515
Min (μs): 5.908
Max (μs): 13.499
90% (μs): 6.808
99% (μs): 7.133
99.9% (μs): 7.545
Request: select
Batch size: 10
RPS: 147184
Avg (μs): 6.794
Med (μs): 6.739
Min (μs): 6.191
Max (μs): 13.759
90% (μs): 7.027
99% (μs): 7.355
99.9% (μs): 7.819
Request: replace
Batch size: 10
RPS: 152407
Avg (μs): 6.561
Med (μs): 6.510
Min (μs): 6.034
Max (μs): 21.195
90% (μs): 6.801
99% (μs): 7.129
99.9% (μs): 7.740
Request: delete
Batch size: 10
RPS: 148426
Avg (μs): 6.737
Med (μs): 6.687
Min (μs): 5.854
Max (μs): 13.689
90% (μs): 6.973
99% (μs): 7.300
99.9% (μs): 7.699
Request: insert
Batch size: 1
RPS: 18698
Avg (μs): 53.482
Med (μs): 52.999
Min (μs): 46.818
Max (μs): 9563.648
90% (μs): 55.134
99% (μs): 57.930
99.9% (μs): 60.263
Request: select
Batch size: 1
RPS: 18580
Avg (μs): 53.822
Med (μs): 53.431
Min (μs): 47.449
Max (μs): 3688.072
90% (μs): 55.264
99% (μs): 57.950
99.9% (μs): 60.083
Request: replace
Batch size: 1
RPS: 18751
Avg (μs): 53.331
Med (μs): 52.910
Min (μs): 46.788
Max (μs): 21933.982
90% (μs): 54.794
99% (μs): 57.418
99.9% (μs): 59.562
Request: delete
Batch size: 1
RPS: 18647
Avg (μs): 53.628
Med (μs): 53.171
Min (μs): 47.229
Max (μs): 7320.714
90% (μs): 55.184
99% (μs): 57.719
99.9% (μs): 59.903
Request: insert
Batch size: 1
RPS: 18696
Avg (μs): 53.488
Med (μs): 53.090
Min (μs): 46.929
Max (μs): 6351.146
90% (μs): 55.004
99% (μs): 57.629
99.9% (μs): 59.643
Request: select
Batch size: 1
RPS: 18627
Avg (μs): 53.685
Med (μs): 53.281
Min (μs): 47.039
Max (μs): 1270.385
90% (μs): 55.184
99% (μs): 58.020
99.9% (μs): 60.384
Request: replace
Batch size: 1
RPS: 18687
Avg (μs): 53.514
Med (μs): 53.080
Min (μs): 46.708
Max (μs): 17391.848
90% (μs): 55.014
99% (μs): 58.059
99.9% (μs): 60.754
Request: delete
Batch size: 1
RPS: 18623
Avg (μs): 53.696
Med (μs): 53.231
Min (μs): 47.099
Max (μs): 1538.983
90% (μs): 55.295
99% (μs): 57.899
99.9% (μs): 60.004
Request: insert
Batch size: 1
RPS: 18687
Avg (μs): 53.513
Med (μs): 53.090
Min (μs): 46.969
Max (μs): 1511.901
90% (μs): 55.034
99% (μs): 58.159
99.9% (μs): 60.755
Request: select
Batch size: 1
RPS: 18591
Avg (μs): 53.790
Med (μs): 53.361
Min (μs): 47.380
Max (μs): 1467.758
90% (μs): 55.354
99% (μs): 58.230
99.9% (μs): 60.594
Request: replace
Batch size: 1
RPS: 18701
Avg (μs): 53.474
Med (μs): 53.090
Min (μs): 47.138
Max (μs): 363.997
90% (μs): 55.014
99% (μs): 57.699
99.9% (μs): 60.064
Request: delete
Batch size: 1
RPS: 18614
Avg (μs): 53.723
Med (μs): 53.250
Min (μs): 46.858
Max (μs): 1506.502
90% (μs): 55.374
99% (μs): 58.420
99.9% (μs): 61.015
Request: insert
Batch size: 1
RPS: 18715
Avg (μs): 53.432
Med (μs): 52.979
Min (μs): 46.908
Max (μs): 1619.605
90% (μs): 55.094
99% (μs): 57.970
99.9% (μs): 60.434
Request: select
Batch size: 1
RPS: 18580
Avg (μs): 53.820
Med (μs): 53.391
Min (μs): 47.600
Max (μs): 1627.049
90% (μs): 55.395
99% (μs): 58.611
99.9% (μs): 61.035
Request: replace
Batch size: 1
RPS: 18749
Avg (μs): 53.336
Med (μs): 52.940
Min (μs): 46.818
Max (μs): 1758.668
90% (μs): 54.844
99% (μs): 57.889
99.9% (μs): 60.063
Request: delete
Batch size: 1
RPS: 18555
Avg (μs): 53.893
Med (μs): 53.380
Min (μs): 47.219
Max (μs): 1775.178
90% (μs): 55.535
99% (μs): 58.460
99.9% (μs): 60.855
Request: insert
Batch size: 1
RPS: 18715
Avg (μs): 53.434
Med (μs): 53.020
Min (μs): 46.648
Max (μs): 1602.252
90% (μs): 54.984
99% (μs): 57.820
99.9% (μs): 60.283
Request: select
Batch size: 1
RPS: 18614
Avg (μs): 53.722
Med (μs): 53.321
Min (μs): 47.610
Max (μs): 1585.270
90% (μs): 55.264
99% (μs): 57.819
99.9% (μs): 59.903
Request: replace
Batch size: 1
RPS: 18703
Avg (μs): 53.468
Med (μs): 53.090
Min (μs): 46.708
Max (μs): 1758.807
90% (μs): 55.023
99% (μs): 57.639
99.9% (μs): 59.623
Request: delete
Batch size: 1
RPS: 18627
Avg (μs): 53.687
Med (μs): 53.280
Min (μs): 46.998
Max (μs): 1852.815
90% (μs): 55.214
99% (μs): 58.019
99.9% (μs): 60.453
Request: insert
Batch size: 1
RPS: 18752
Avg (μs): 53.328
Med (μs): 52.950
Min (μs): 46.888
Max (μs): 294.234
90% (μs): 54.763
99% (μs): 57.678
99.9% (μs): 59.973
Request: select
Batch size: 1
RPS: 18606
Avg (μs): 53.747
Med (μs): 53.351
Min (μs): 47.038
Max (μs): 1822.680
90% (μs): 55.284
99% (μs): 57.779
99.9% (μs): 59.853
Request: replace
Batch size: 1
RPS: 18743
Avg (μs): 53.352
Med (μs): 52.970
Min (μs): 46.758
Max (μs): 1776.945
90% (μs): 54.874
99% (μs): 57.539
99.9% (μs): 59.623
Request: delete
Batch size: 1
RPS: 18652
Avg (μs): 53.614
Med (μs): 53.230
Min (μs): 46.989
Max (μs): 1805.820
90% (μs): 54.994
99% (μs): 58.210
99.9% (μs): 61.045
Request: insert
Batch size: 1
RPS: 18725
Avg (μs): 53.404
Med (μs): 53.040
Min (μs): 47.109
Max (μs): 1929.203
90% (μs): 54.823
99% (μs): 57.519
99.9% (μs): 59.352
Request: select
Batch size: 1
RPS: 18609
Avg (μs): 53.738
Med (μs): 53.370
Min (μs): 47.429
Max (μs): 1776.987
90% (μs): 55.104
99% (μs): 57.949
99.9% (μs): 60.324
Request: replace
Batch size: 1
RPS: 18773
Avg (μs): 53.267
Med (μs): 52.910
Min (μs): 46.638
Max (μs): 2809.702
90% (μs): 54.583
99% (μs): 57.498
99.9% (μs): 59.712
Request: delete
Batch size: 1
RPS: 18673
Avg (μs): 53.552
Med (μs): 53.170
Min (μs): 47.149
Max (μs): 3012.726
90% (μs): 54.984
99% (μs): 58.259
99.9% (μs): 60.714
Request: insert
Batch size: 1
RPS: 18715
Avg (μs): 53.434
Med (μs): 53.070
Min (μs): 46.969
Max (μs): 1486.510
90% (μs): 54.643
99% (μs): 58.089
99.9% (μs): 60.885
Request: select
Batch size: 1
RPS: 18598
Avg (μs): 53.771
Med (μs): 53.361
Min (μs): 47.570
Max (μs): 968.114
90% (μs): 55.254
99% (μs): 58.750
99.9% (μs): 61.376
Request: replace
Batch size: 1
RPS: 18734
Avg (μs): 53.378
Med (μs): 53.030
Min (μs): 46.768
Max (μs): 1457.336
90% (μs): 54.543
99% (μs): 57.599
99.9% (μs): 60.073
Request: delete
Batch size: 1
RPS: 18669
Avg (μs): 53.565
Med (μs): 53.190
Min (μs): 47.139
Max (μs): 1484.928
90% (μs): 54.994
99% (μs): 57.688
99.9% (μs): 60.074
Request: insert
Batch size: 1
RPS: 18735
Avg (μs): 53.375
Med (μs): 53.010
Min (μs): 46.468
Max (μs): 1519.764
90% (μs): 54.743
99% (μs): 57.589
99.9% (μs): 59.622
Request: select
Batch size: 1
RPS: 18677
Avg (μs): 53.541
Med (μs): 53.180
Min (μs): 47.429
Max (μs): 1495.899
90% (μs): 54.894
99% (μs): 57.849
99.9% (μs): 60.765
Request: replace
Batch size: 1
RPS: 18792
Avg (μs): 53.214
Med (μs): 52.860
Min (μs): 46.988
Max (μs): 1468.178
90% (μs): 54.343
99% (μs): 57.789
99.9% (μs): 60.704
Request: delete
Batch size: 1
RPS: 18674
Avg (μs): 53.549
Med (μs): 53.191
Min (μs): 47.319
Max (μs): 1455.704
90% (μs): 54.543
99% (μs): 58.130
99.9% (μs): 60.494
Request: insert
Batch size: 1
RPS: 18755
Avg (μs): 53.319
Med (μs): 52.940
Min (μs): 46.978
Max (μs): 1453.149
90% (μs): 54.764
99% (μs): 57.869
99.9% (μs): 60.424
Request: select
Batch size: 1
RPS: 18590
Avg (μs): 53.793
Med (μs): 53.390
Min (μs): 47.429
Max (μs): 1464.822
90% (μs): 55.254
99% (μs): 58.089
99.9% (μs): 60.534
Request: replace
Batch size: 1
RPS: 18720
Avg (μs): 53.419
Med (μs): 53.020
Min (μs): 47.129
Max (μs): 1436.629
90% (μs): 54.913
99% (μs): 58.139
99.9% (μs): 61.005
Request: delete
Batch size: 1
RPS: 18638
Avg (μs): 53.653
Med (μs): 53.261
Min (μs): 47.380
Max (μs): 425.663
90% (μs): 55.034
99% (μs): 58.190
99.9% (μs): 60.714
Request: insert
Batch size: 1
RPS: 18652
Avg (μs): 53.613
Med (μs): 53.150
Min (μs): 46.879
Max (μs): 1436.148
90% (μs): 55.174
99% (μs): 58.139
99.9% (μs): 60.574
Request: select
Batch size: 1
RPS: 18565
Avg (μs): 53.864
Med (μs): 53.381
Min (μs): 47.289
Max (μs): 51225.873
90% (μs): 55.305
99% (μs): 58.440
99.9% (μs): 60.985
Request: replace
Batch size: 1
RPS: 18697
Avg (μs): 53.485
Med (μs): 53.120
Min (μs): 46.788
Max (μs): 1411.421
90% (μs): 54.783
99% (μs): 58.079
99.9% (μs): 60.685
Request: delete
Batch size: 1
RPS: 18650
Avg (μs): 53.620
Med (μs): 53.250
Min (μs): 47.249
Max (μs): 1423.114
90% (μs): 55.003
99% (μs): 57.829
99.9% (μs): 60.253
Request: insert
Batch size: 1
RPS: 18742
Avg (μs): 53.355
Med (μs): 52.970
Min (μs): 47.018
Max (μs): 1425.157
90% (μs): 54.743
99% (μs): 58.119
99.9% (μs): 61.015
Request: select
Batch size: 1
RPS: 18601
Avg (μs): 53.762
Med (μs): 53.350
Min (μs): 47.139
Max (μs): 1407.194
90% (μs): 55.274
99% (μs): 58.360
99.9% (μs): 60.834
Request: replace
Batch size: 1
RPS: 18740
Avg (μs): 53.361
Med (μs): 52.980
Min (μs): 46.908
Max (μs): 8218.088
90% (μs): 54.753
99% (μs): 57.889
99.9% (μs): 60.655
Request: delete
Batch size: 1
RPS: 18666
Avg (μs): 53.575
Med (μs): 53.191
Min (μs): 47.460
Max (μs): 1492.094
90% (μs): 54.994
99% (μs): 57.960
99.9% (μs): 60.354
Request: insert
Batch size: 1
RPS: 18757
Avg (μs): 53.314
Med (μs): 52.919
Min (μs): 46.788
Max (μs): 1794.634
90% (μs): 54.804
99% (μs): 57.809
99.9% (μs): 60.123
Request: select
Batch size: 1
RPS: 18630
Avg (μs): 53.678
Med (μs): 53.291
Min (μs): 47.259
Max (μs): 553.714
90% (μs): 55.144
99% (μs): 58.129
99.9% (μs): 60.594
Request: replace
Batch size: 1
RPS: 18727
Avg (μs): 53.400
Med (μs): 53.020
Min (μs): 47.229
Max (μs): 1762.484
90% (μs): 54.774
99% (μs): 58.039
99.9% (μs): 60.674
Request: delete
Batch size: 1
RPS: 18616
Avg (μs): 53.716
Med (μs): 53.331
Min (μs): 47.329
Max (μs): 1701.449
90% (μs): 55.134
99% (μs): 58.200
99.9% (μs): 60.825
Request: insert
Batch size: 1
RPS: 18701
Avg (μs): 53.473
Med (μs): 53.070
Min (μs): 46.788
Max (μs): 1712.500
90% (μs): 55.014
99% (μs): 57.839
99.9% (μs): 60.324
Request: select
Batch size: 1
RPS: 18681
Avg (μs): 53.530
Med (μs): 53.130
Min (μs): 47.129
Max (μs): 17682.178
90% (μs): 54.873
99% (μs): 58.040
99.9% (μs): 60.544
Request: replace
Batch size: 1
RPS: 18625
Avg (μs): 53.692
Med (μs): 53.100
Min (μs): 47.229
Max (μs): 19069.756
90% (μs): 55.324
99% (μs): 58.360
99.9% (μs): 60.925
Request: delete
Batch size: 1
RPS: 18657
Avg (μs): 53.598
Med (μs): 53.120
Min (μs): 47.199
Max (μs): 1758.296
90% (μs): 55.244
99% (μs): 58.400
99.9% (μs): 61.015
Request: insert
Batch size: 1
RPS: 18685
Avg (μs): 53.520
Med (μs): 52.990
Min (μs): 46.748
Max (μs): 1762.014
90% (μs): 55.156
99% (μs): 58.049
99.9% (μs): 60.476
Request: select
Batch size: 1
RPS: 18597
Avg (μs): 53.771
Med (μs): 53.252
Min (μs): 47.300
Max (μs): 4606.277
90% (μs): 55.406
99% (μs): 58.462
99.9% (μs): 61.087
Request: replace
Batch size: 1
RPS: 18690
Avg (μs): 53.503
Med (μs): 53.012
Min (μs): 46.829
Max (μs): 19043.927
90% (μs): 55.075
99% (μs): 57.901
99.9% (μs): 60.335
Request: delete
Batch size: 1
RPS: 18644
Avg (μs): 53.636
Med (μs): 53.171
Min (μs): 47.371
Max (μs): 421.104
90% (μs): 55.235
99% (μs): 58.512
99.9% (μs): 61.808
Request: insert
Batch size: 1
RPS: 18685
Avg (μs): 53.520
Med (μs): 53.051
Min (μs): 47.110
Max (μs): 13850.740
90% (μs): 55.156
99% (μs): 58.151
99.9% (μs): 61.006
Request: select
Batch size: 1
RPS: 18582
Avg (μs): 53.816
Med (μs): 53.382
Min (μs): 47.130
Max (μs): 1477.776
90% (μs): 55.405
99% (μs): 58.331
99.9% (μs): 61.277
Request: replace
Batch size: 1
RPS: 18620
Avg (μs): 53.705
Med (μs): 53.121
Min (μs): 47.280
Max (μs): 1448.928
90% (μs): 55.376
99% (μs): 58.592
99.9% (μs): 61.497
Request: delete
Batch size: 1
RPS: 18636
Avg (μs): 53.660
Med (μs): 53.161
Min (μs): 47.370
Max (μs): 1478.843
90% (μs): 55.295
99% (μs): 58.562
99.9% (μs): 61.156
Request: insert
Batch size: 1
RPS: 18582
Avg (μs): 53.814
Med (μs): 53.161
Min (μs): 47.099
Max (μs): 1447.611
90% (μs): 55.475
99% (μs): 58.711
99.9% (μs): 61.407
Request: select
Batch size: 1
RPS: 18517
Avg (μs): 54.005
Med (μs): 53.432
Min (μs): 46.959
Max (μs): 1474.580
90% (μs): 55.675
99% (μs): 58.881
99.9% (μs): 61.367
Request: replace
Batch size: 1
RPS: 18691
Avg (μs): 53.502
Med (μs): 52.981
Min (μs): 46.699
Max (μs): 1463.128
90% (μs): 55.105
99% (μs): 58.261
99.9% (μs): 60.926
Request: delete
Batch size: 1
RPS: 18553
Avg (μs): 53.901
Med (μs): 53.402
Min (μs): 47.921
Max (μs): 1438.670
90% (μs): 55.535
99% (μs): 58.431
99.9% (μs): 60.696
Request: insert
Batch size: 1
RPS: 18637
Avg (μs): 53.656
Med (μs): 53.161
Min (μs): 47.159
Max (μs): 2392.287
90% (μs): 55.274
99% (μs): 58.171
99.9% (μs): 60.675
Request: select
Batch size: 1
RPS: 18558
Avg (μs): 53.886
Med (μs): 53.381
Min (μs): 47.360
Max (μs): 419.765
90% (μs): 55.516
99% (μs): 58.651
99.9% (μs): 61.286
Request: replace
Batch size: 1
RPS: 18710
Avg (μs): 53.447
Med (μs): 53.021
Min (μs): 46.949
Max (μs): 1415.694
90% (μs): 55.015
99% (μs): 58.110
99.9% (μs): 61.026
Request: delete
Batch size: 1
RPS: 18630
Avg (μs): 53.677
Med (μs): 53.211
Min (μs): 46.939
Max (μs): 1225.422
90% (μs): 55.254
99% (μs): 58.251
99.9% (μs): 60.515
Request: insert
Batch size: 1
RPS: 18757
Avg (μs): 53.314
Med (μs): 52.920
Min (μs): 46.538
Max (μs): 5625.627
90% (μs): 54.744
99% (μs): 58.060
99.9% (μs): 60.885
Request: select
Batch size: 1
RPS: 18590
Avg (μs): 53.791
Med (μs): 53.290
Min (μs): 46.859
Max (μs): 1429.578
90% (μs): 55.435
99% (μs): 58.270
99.9% (μs): 61.116
Request: replace
Batch size: 1
RPS: 18665
Avg (μs): 53.577
Med (μs): 53.091
Min (μs): 47.089
Max (μs): 1400.973
90% (μs): 55.174
99% (μs): 58.431
99.9% (μs): 61.276
Request: delete
Batch size: 1
RPS: 18615
Avg (μs): 53.720
Med (μs): 53.181
Min (μs): 47.119
Max (μs): 1458.200
90% (μs): 55.365
99% (μs): 58.701
99.9% (μs): 61.436
Request: insert
Batch size: 1
RPS: 18684
Avg (μs): 53.522
Med (μs): 53.030
Min (μs): 47.059
Max (μs): 1582.706
90% (μs): 55.125
99% (μs): 58.290
99.9% (μs): 60.905
Request: select
Batch size: 1
RPS: 18582
Avg (μs): 53.816
Med (μs): 53.301
Min (μs): 47.390
Max (μs): 1388.487
90% (μs): 55.485
99% (μs): 58.771
99.9% (μs): 61.516
Request: replace
Batch size: 1
RPS: 18755
Avg (μs): 53.319
Med (μs): 52.920
Min (μs): 47.039
Max (μs): 479.357
90% (μs): 54.814
99% (μs): 58.080
99.9% (μs): 61.026
Request: delete
Batch size: 1
RPS: 18645
Avg (μs): 53.634
Med (μs): 53.171
Min (μs): 46.839
Max (μs): 1446.867
90% (μs): 55.215
99% (μs): 58.371
99.9% (μs): 61.286
Request: insert
Batch size: 1
RPS: 18703
Avg (μs): 53.467
Med (μs): 52.930
Min (μs): 46.708
Max (μs): 50590.973
90% (μs): 54.934
99% (μs): 58.100
99.9% (μs): 60.785
Request: select
Batch size: 1
RPS: 18579
Avg (μs): 53.825
Med (μs): 53.311
Min (μs): 47.109
Max (μs): 1640.903
90% (μs): 55.464
99% (μs): 58.631
99.9% (μs): 61.226
Request: replace
Batch size: 1
RPS: 18744
Avg (μs): 53.350
Med (μs): 52.950
Min (μs): 46.688
Max (μs): 8462.824
90% (μs): 54.774
99% (μs): 58.040
99.9% (μs): 61.005
Request: delete
Batch size: 1
RPS: 18674
Avg (μs): 53.551
Med (μs): 53.151
Min (μs): 47.200
Max (μs): 1623.610
90% (μs): 55.014
99% (μs): 58.250
99.9% (μs): 60.855
Request: insert
Batch size: 1
RPS: 18759
Avg (μs): 53.308
Med (μs): 52.900
Min (μs): 46.658
Max (μs): 9532.754
90% (μs): 54.804
99% (μs): 57.649
99.9% (μs): 60.174
Request: select
Batch size: 1
RPS: 18654
Avg (μs): 53.609
